id,title,rating,card_subtitle
36962864,正在缩小的男人,6.4,2025 / 法国 比利时 / 科幻 冒险 / 扬·高能 / 让·杜雅尔丹 玛丽-乔西·克罗兹
36904780,真理与背叛,7.4,2025 / 立陶宛 美国 / 剧情 惊悚 历史 / 马特·惠特可 / 伊万·霍罗克斯 鲁珀特·伊文斯
37168695,草莓月亮,7.3,2025 / 日本 / 剧情 爱情 / 酒井麻衣 / 当真亚美 斋藤润
37517140,藤本树 17-26,8.3,2025 / 日本 / 剧情 科幻 动画 奇幻 / 长屋诚志郎 木村延景 武内宣之 安藤尚也 渡边彻明 寺泽和晃 本间修 / 小野贤章 樱井诗音
37296317,喂，应为,6.3,2025 / 日本 / 剧情 传记 / 大森立嗣 / 长泽雅美 永濑正敏
36621696,黑色电话2,6.0,2025 / 美国 加拿大 / 恐怖 / 斯科特·德瑞克森 / 伊桑·霍克 梅森·泰晤士
3401672,蠢特夫妇,5.9,2025 / 美国 英国 / 喜剧 动画 奇幻 冒险 / 菲尔·约翰斯顿 托德·德蒙 凯蒂·沙纳汉 / 约翰尼·维加斯 玛格·马丁戴尔
37168030,我们的错误,5.6,2025 / 西班牙 / 剧情 爱情 / 多明戈·冈萨雷斯 / 妮可·华莱士 加布里埃尔·格瓦拉
36772307,冰湖行动,5.6,2025 / 美国 / 惊悚 犯罪 / 斯戴芬·卢佐维茨基 / 乔尔·金纳曼 卡拉·杰德·迈尔斯
37259344,死后人人爱,6.0,2025 / 泰国 / 剧情 惊悚 犯罪 / 尼提瓦·塔拉吞 / 提拉德·翁坡帕 瓦西拉维奇·哇塔纳帕迪派善
37019075,蒙特利尔，我的美人,7.6,2025 / 加拿大 / 剧情 同性 / 和晓丹 / 陈冲 夏洛特·奥宾
35811719,周年纪念日,6.4,2025 / 美国 / 惊悚 / 扬·科马萨 / 戴安·琳恩 凯尔·钱德勒
36446114,开麦了吗？,5.8,2025 / 美国 / 剧情 喜剧 / 布莱德利·库珀 / 威尔·阿奈特 劳拉·邓恩
36894887,10号舱房的女人,5.7,2025 / 美国 英国 / 剧情 悬疑 惊悚 / 西蒙·斯通 / 凯拉·奈特莉 盖·皮尔斯
37474018,泥娃娃,5.7,2025 / 中国台湾 / 惊悚 恐怖 / 解孟儒 / 杨祐宁 蔡思韵
37312482,爱上平行时空的你,8.0,2025 / 俄罗斯 / 剧情 喜剧 爱情 奇幻 / 达里娅·列别杰娃 / 米拉·埃尔绍娃 尤里·纳索诺夫
36915053,可拉米洛,6.7,2025 / 巴西 / 剧情 喜剧 家庭 / Diego Freitas / 哈法埃尔·维奇 Diego Freitas
30246476,创：战神,6.1,2025 / 美国 / 动作 科幻 冒险 / 乔阿吉姆·罗恩尼 / 杰瑞德·莱托 格蕾塔·李
36302240,楚门之鼠,7.5,2025 / 西班牙 / 喜剧 动画 / 阿尔贝托·巴斯克斯
36691620,至尊马蒂,7.3,2025 / 芬兰 美国 / 剧情 运动 / 乔什·萨弗迪 / 提莫西·查拉梅 格温妮斯·帕特洛
37107063,震耳欲聋,7.4,2025 / 中国大陆 / 剧情 犯罪 / 万力 / 檀健次 兰西雅
36171586,谁想当老大,6.1,2025 / 韩国 / 喜剧 动作 / 罗喜灿 / 赵祐镇 郑敬淏
37089972,致命录像带：万圣节,6.2,2025 / 美国 / 恐怖 / 布莱恩·M·弗格森 加斯帕·凯利 R·H·诺曼 亚历克斯·罗斯·派瑞 米其琳·皮特 帕科·普拉萨 安娜·兹洛科维奇 / 大卫·海顿 安娜·麦克凯尔维
35382381,刺杀小说家2,5.8,2025 / 中国大陆 / 动作 奇幻 / 路阳 / 邓超 董子健
36347260,盗亦有道,6.4,2025 / 澳大利亚 美国 / 剧情 犯罪 / 沙恩·布莱克 / 马克·沃尔伯格 勒凯斯·斯坦菲尔德
36402017,毕正明的证明,7.2,2025 / 中国大陆 / 剧情 犯罪 / 佟志坚 / 王安宇 张天爱
36830173,三国的星空第一部,7.0,2025 / 中国大陆 / 动画 历史 / 于孟 袁原 / 檀健次 路金波
37469727,祸祸女,5.6,2025 / 日本 / 喜剧 惊悚 恐怖 / 吉田有里 / 南沙良 前田旺志郎
36296619,志愿军：浴血和平,7.1,2025 / 中国大陆 / 剧情 历史 战争 / 陈凯歌 / 张子枫 宋佳
36207392,浪浪人生,6.1,2025 / 中国大陆 / 剧情 喜剧 家庭 / 马林 / 黄渤 范丞丞
37228408,布吕歇尔号巡洋舰,7.3,2025 / 挪威 / 剧情 历史 战争 / Daniel Fahre / 比约恩·桑德奎斯特 安德烈·伯恩森
36893589,法式恋人,5.7,2025 / 法国 / 喜剧 爱情 / 莉萨-妮娜·里夫斯 / 奥玛·希 萨拉·吉罗多
36948291,女孩们,7.5,2025 / 荷兰 奥地利 比利时 / 剧情 惊悚 / 迈克·范·迪姆 / 斯科拉·鲁特 费德贾·范·胡艾特
37090070,明明不是我！,5.7,2025 / 日本 / 剧情 悬疑 / 山田笃宏 / 阿部宽 芦田爱菜
37479896,肉食日,5.7,2025 / 荷兰 / 恐怖 / Martijn Smits / Caro Derkx Sem Ben Yakar
36614680,索命哨,5.3,2025 / 加拿大 爱尔兰 / 恐怖 / 科林·哈迪 / 达芙妮·基恩 苏菲·奈丽丝
36777886,团战之夜,6.6,2025 / 德国 美国 / 剧情 喜剧 科幻 / 戈尔·维宾斯基 / 山姆·洛克威尔 史蒂夫·马克
36176155,一战再战,8.0,2025 / 美国 / 剧情 动作 惊悚 犯罪 / 保罗·托马斯·安德森 / 莱昂纳多·迪卡普里奥 西恩·潘
36857150,她行走于黑暗中,6.2,2025 / 西班牙 / 剧情 惊悚 历史 / 阿古斯丁·迪亚斯·亚内斯 / 苏珊娜·阿巴图纳·戈麦斯 劳尔·阿雷瓦洛
37109415,平安夜，杀人夜,6.1,2025 / 美国 / 惊悚 恐怖 / 迈克·P·纳尔逊 / 罗汉·坎贝尔 露比·莫迪恩
37066724,他年她日,7.5,2025 / 中国香港 中国台湾 / 爱情 奇幻 / 龚兆平 / 许光汉 袁澧林
36576305,女孩不平凡,7.1,2025 / 中国台湾 中国澳门 中国香港 泰国 / 剧情 爱情 同性 / 徐欣羨 / 廖子妤 余香凝
37069578,万事顺利,7.6,2025 / 日本 / 剧情 / 児山隆 / 南沙良 出口夏希
34850565,南方时光,6.2,2025 / 中国台湾 / 剧情 / 曹仕翰 / 陈玄力 吴慷仁
36883109,宝岛,6.2,2025 / 日本 / 剧情 历史 / 大友启史 / 妻夫木聪 广濑铃
37106646,保护者,6.2,2025 / 美国 / 动作 惊悚 / 阿德里安·格鲁伯格 / 米拉·乔沃维奇 马修·莫迪恩
37455277,死神之夜,5.6,2025 / 美国 / 剧情 惊悚 恐怖 / 布兰登·克里斯坦森 / 杰西卡·克莱门特 瑞安·罗宾斯
36686227,伦敦呼叫,5.9,2025 / 美国 南非 / 喜剧 动作 / 阿伦·安加 / 乔什·杜哈明 杰里米·雷·泰勒
37480003,杀手#4,6.4,2025 / 中国香港 日本 / 动作 犯罪 / 喇英 / 魏浚笙 南沙良
37322522,愚者的身份,6.9,2025 / 日本 / 惊悚 / 永田琴 / 北村匠海 绫野刚
37496194,吉安马可·索雷西：欢乐窃贼,8.9,2025 / 美国 / 吉安马可·索雷西
35295232,绮梦之旅,5.7,2025 / 美国 爱尔兰 / 剧情 爱情 奇幻 冒险 / 郭共达 / 玛格特·罗比 科林·法瑞尔
37154895,楼上的人们,6.3,2025 / 韩国 / 剧情 爱情 / 河正宇 / 河正宇 李荷妮
