id,title,rating,movie_year,movie_country,movie_type,movie_actor
37077505,爆弹,7.2,2025,日本,悬疑 犯罪,永井聪山田裕贵 佐藤二朗
37479626,巴霍巴利王：史诗,7.1,2025,印度,动作 奇幻,S·S·拉贾穆里帕拉巴斯 特曼娜·芭蒂亚
36219411,像我这样的爱情,7.1,2025,中国香港,爱情,谭惠贞廖子妤 陈家乐
37258105,安全屋,6.6,2025,美国,动作 悬疑,Jamie Marshall卢锡安·拉维斯科特 汉娜·乔恩-卡门
35700339,飞行家,7.1,2025,中国大陆,喜剧,鹏飞蒋奇明 李雪琴
36894424,放飞旅行团,5.7,2025,韩国,未知,南大中姜河那 金英光
37213104,东京出租车,8.0,2025,日本,未知,山田洋次倍赏千惠子 木村拓哉
37388734,午夜之花,6.1,2025,日本,犯罪,内田英治北川景子 森田望智
37039108,地母,7.1,2025,马来西亚 意大利 中国香港,未知,张吉安范冰冰 许恩怡
36752985,下一个台风,6.9,2025,中国大陆,未知,李玉张子枫 张伟丽
36689647,遇见世界,7.6,2025,日本,未知,松居大悟杉咲花 南琴奈
37657537,宿主,5.4,2025,泰国,惊悚 恐怖,拜拉契·坤完泰蒂娅·吉拉庞恩斯普 薇琳萨兰·唐绮苏瓦妮
36999797,为你遗憾,5.7,2025,德国 美国,未知,约什·布恩麦肯娜·格瑞丝 梅森·泰晤士
36962864,正在缩小的男人,6.4,2025,法国 比利时,科幻 冒险,扬·高能让·杜雅尔丹 玛丽-乔西·克罗兹
36904780,真理与背叛,7.4,2025,立陶宛 美国,惊悚 历史,马特·惠特可伊万·霍罗克斯 鲁珀特·伊文斯
37168695,草莓月亮,7.3,2025,日本,爱情,酒井麻衣当真亚美 斋藤润
37517140,藤本树 17-26,8.3,2025,日本,科幻 动画 奇幻,长屋诚志郎 木村延景 武内宣之 安藤尚也 渡边彻明 寺泽和晃 本间修小野贤章 樱井诗音
37296317,喂，应为,6.3,2025,日本,传记,大森立嗣长泽雅美 永濑正敏
36621696,黑色电话2,6.0,2025,美国 加拿大,恐怖,斯科特·德瑞克森伊桑·霍克 梅森·泰晤士
3401672,蠢特夫妇,5.9,2025,美国 英国,喜剧 动画 奇幻 冒险,菲尔·约翰斯顿 托德·德蒙 凯蒂·沙纳汉约翰尼·维加斯 玛格·马丁戴尔
37168030,我们的错误,5.6,2025,西班牙,爱情,多明戈·冈萨雷斯妮可·华莱士 加布里埃尔·格瓦拉
36772307,冰湖行动,5.6,2025,美国,惊悚 犯罪,斯戴芬·卢佐维茨基乔尔·金纳曼 卡拉·杰德·迈尔斯
37259344,死后人人爱,6.0,2025,泰国,惊悚 犯罪,尼提瓦·塔拉吞提拉德·翁坡帕 瓦西拉维奇·哇塔纳帕迪派善
37019075,蒙特利尔，我的美人,7.6,2025,加拿大,同性,和晓丹陈冲 夏洛特·奥宾
35811719,周年纪念日,6.4,2025,美国,惊悚,扬·科马萨戴安·琳恩 凯尔·钱德勒
36446114,开麦了吗？,5.8,2025,美国,喜剧,布莱德利·库珀威尔·阿奈特 劳拉·邓恩
36894887,10号舱房的女人,5.7,2025,美国 英国,悬疑 惊悚,西蒙·斯通凯拉·奈特莉 盖·皮尔斯
37474018,泥娃娃,5.7,2025,中国台湾,惊悚 恐怖,解孟儒杨祐宁 蔡思韵
37312482,爱上平行时空的你,8.0,2025,俄罗斯,喜剧 爱情 奇幻,达里娅·列别杰娃米拉·埃尔绍娃 尤里·纳索诺夫
36915053,可拉米洛,6.7,2025,巴西,喜剧 家庭,Diego Freitas哈法埃尔·维奇 Diego Freitas
30246476,创：战神,6.1,2025,美国,动作 科幻 冒险,乔阿吉姆·罗恩尼杰瑞德·莱托 格蕾塔·李
36302240,楚门之鼠,7.5,2025,西班牙,喜剧 动画,阿尔贝托·巴斯克斯
36691620,至尊马蒂,7.3,2025,芬兰 美国,运动,乔什·萨弗迪提莫西·查拉梅 格温妮斯·帕特洛
37107063,震耳欲聋,7.4,2025,中国大陆,犯罪,万力檀健次 兰西雅
36171586,谁想当老大,6.1,2025,韩国,喜剧 动作,罗喜灿赵祐镇 郑敬淏
37089972,致命录像带：万圣节,6.2,2025,美国,恐怖,布莱恩·M·弗格森 加斯帕·凯利 R·H·诺曼 亚历克斯·罗斯·派瑞 米其琳·皮特 帕科·普拉萨 安娜·兹洛科维奇大卫·海顿 安娜·麦克凯尔维
35382381,刺杀小说家2,5.8,2025,中国大陆,动作 奇幻,路阳邓超 董子健
36347260,盗亦有道,6.4,2025,澳大利亚 美国,犯罪,沙恩·布莱克马克·沃尔伯格 勒凯斯·斯坦菲尔德
36402017,毕正明的证明,7.2,2025,中国大陆,犯罪,佟志坚王安宇 张天爱
36830173,三国的星空第一部,7.0,2025,中国大陆,动画 历史,于孟 袁原檀健次 路金波
37469727,祸祸女,5.6,2025,日本,喜剧 惊悚 恐怖,吉田有里南沙良 前田旺志郎
36296619,志愿军：浴血和平,7.1,2025,中国大陆,历史 战争,陈凯歌张子枫 宋佳
36207392,浪浪人生,6.1,2025,中国大陆,喜剧 家庭,马林黄渤 范丞丞
37228408,布吕歇尔号巡洋舰,7.2,2025,挪威,历史 战争,Daniel Fahre比约恩·桑德奎斯特 安德烈·伯恩森
36893589,法式恋人,5.6,2025,法国,喜剧 爱情,莉萨-妮娜·里夫斯奥玛·希 萨拉·吉罗多
36948291,女孩们,7.5,2025,荷兰 奥地利 比利时,惊悚,迈克·范·迪姆斯科拉·鲁特 费德贾·范·胡艾特
37090070,明明不是我！,5.7,2025,日本,悬疑,山田笃宏阿部宽 芦田爱菜
37479896,肉食日,5.8,2025,荷兰,恐怖,Martijn SmitsCaro Derkx Sem Ben Yakar
36614680,索命哨,5.3,2025,加拿大 爱尔兰,恐怖,科林·哈迪达芙妮·基恩 苏菲·奈丽丝
36777886,团战之夜,6.6,2025,德国 美国,喜剧 科幻,戈尔·维宾斯基山姆·洛克威尔 史蒂夫·马克
36176155,一战再战,8.0,2025,美国,动作 惊悚 犯罪,保罗·托马斯·安德森莱昂纳多·迪卡普里奥 西恩·潘
